Date,Open,High,Low,Close,Volume
03/19/2021,"195.73","227.00","182.66","200.27","24,677,301"
03/18/2021,"214.00","218.88","195.65","201.75","11,799,910"
03/17/2021,"217.84","231.47","204.00","209.81","16,481,590"
03/16/2021,"203.16","220.70","172.35","208.17","35,422,871"
03/15/2021,"277.52","283.00","206.00","220.14","24,226,189"
03/12/2021,"275.00","295.50","262.27","264.50","25,845,900"
03/11/2021,"241.64","281.50","232.60","260.00","28,312,490"
03/10/2021,"269.43","348.50","172.00","265.00","71,570,570"
03/09/2021,"217.71","249.85","208.51","246.90","39,099,328"
03/08/2021,"154.89","210.87","146.10","194.50","63,565,621"
03/05/2021,"128.17","151.53","127.50","137.74","30,733,670"
03/04/2021,"125.00","147.87","115.30","132.35","32,606,891"
03/03/2021,"122.51","127.75","113.12","124.18","19,273,881"
03/02/2021,"116.93","133.20","112.20","118.18","33,783,039"
03/01/2021,"104.54","133.99","99.97","120.40","49,793,969"
02/26/2021,"117.46","142.90","86.00","101.74","92,194,148"
02/25/2021,"169.56","184.68","101.00","108.73","150,308,797"
02/24/2021,"44.70","91.71","44.70","91.71","83,111,742"
02/23/2021,"44.97","46.23","40.00","44.97","7,565,215"
02/22/2021,"46.69","48.51","42.40","46.00","19,476,020"
02/19/2021,"41.28","43.89","38.50","40.59","14,828,240"
02/18/2021,"48.49","48.87","40.65","40.69","23,990,561"
02/17/2021,"49.77","51.19","44.56","45.94","9,260,795"
